"elapsedTime","questionType","question","expectedAnswer","Answer","isCorrect"
359,0,"m",,,
346,0,"e",,,
384,0,"r",,,
376,0,"T",,,
383,0,"G",,,
378,0,"r",,,
375,0,"e",,,
427,0,"H",,,
379,0,"b",,,
364,0,"B",,,
382,0,"e",,,
385,0,"E",,,
385,0,"M",,,
347,0,"E",,,
374,0,"t",,,
466,0,"b",,,
387,0,"R",,,
370,0,"p",,,
393,0,"f",,,
361,0,"f",,,
403,0,"m",,,
409,0,"F",,,
360,0,"P",,,
377,0,"m",,,
318,0,"t",,,
380,0,"M",,,
374,0,"E",,,
378,0,"P",,,
387,0,"M",,,
593,0,"H",,,
382,0,"A",,,
397,0,"P",,,
367,0,"f",,,
407,0,"f",,,
365,0,"b",,,
426,0,"h",,,
339,0,"M",,,
388,0,"P",,,
379,0,"m",,,
384,0,"P",,,
371,0,"r",,,
414,0,"F",,,
362,0,"F",,,
384,0,"r",,,
382,0,"T",,,
395,0,"P",,,
452,0,"A",,,
408,0,"G",,,
393,0,"B",,,
372,0,"e",,,
456,0,"A",,,
384,0,"b",,,
402,0,"g",,,
384,0,"p",,,
374,0,"r",,,
381,0,"T",,,
381,0,"B",,,
421,0,"R",,,
402,0,"r",,,
377,0,"g",,,
399,0,"r",,,
411,0,"E",,,
405,0,"e",,,
367,0,"G",,,
407,0,"H",,,
329,0,"r",,,
374,0,"B",,,
423,0,"m",,,
424,0,"G",,,
424,0,"M",,,
391,0,"r",,,
385,0,"m",,,
381,0,"h",,,
367,0,"F",,,
406,0,"h",,,
382,0,"R",,,
379,0,"R",,,
394,0,"b",,,
414,0,"g",,,
389,0,"m",,,
441,0,"h",,,
395,0,"R",,,
384,0,"h",,,
373,0,"b",,,
378,0,"B",,,
396,0,"m",,,
371,0,"a",,,
409,0,"G",,,
396,0,"f",,,
413,0,"H",,,
409,0,"P",,,
412,0,"f",,,
408,0,"R",,,
399,0,"A",,,
392,0,"H",,,
390,0,"M",,,
374,0,"R",,,
398,0,"m",,,
461,0,"r",,,
411,0,"h",,,
380,0,"e",,,
388,0,"b",,,
330,0,"R",,,
362,0,"E",,,
388,0,"G",,,
467,0,"A",,,
378,0,"T",,,
425,0,"r",,,
379,0,"m",,,
386,0,"P",,,
397,0,"a",,,
338,0,"t",,,
409,0,"r",,,
346,0,"g",,,
426,0,"e",,,
466,0,"e",,,
395,0,"A",,,
369,0,"t",,,
385,0,"a",,,
360,0,"h",,,
351,0,"r",,,
368,0,"g",,,
327,0,"t",,,
403,0,"t",,,
395,0,"A",,,
390,0,"M",,,
391,0,"a",,,
411,0,"A",,,
386,0,"e",,,
371,0,"F",,,
420,0,"G",,,
469,0,"h",,,
368,0,"A",,,
390,0,"e",,,
386,0,"r",,,
358,0,"E",,,
397,0,"T",,,
371,0,"a",,,
361,0,"R",,,
447,0,"M",,,
370,0,"B",,,
412,0,"e",,,
363,0,"B",,,
537,0,"g",,,
431,0,"h",,,
396,0,"f",,,
397,0,"e",,,
443,0,"M",,,
408,0,"R",,,
376,0,"h",,,
354,0,"M",,,
386,0,"a",,,
366,0,"M",,,
425,0,"b",,,
383,0,"b",,,
384,0,"F",,,
427,0,"B",,,
411,0,"g",,,
409,0,"a",,,
393,0,"m",,,
390,0,"A",,,
405,0,"T",,,
362,0,"E",,,
390,0,"a",,,
370,0,"r",,,
417,0,"H",,,
408,0,"t",,,
450,0,"f",,,
426,0,"p",,,
414,0,"a",,,
386,0,"G",,,
387,0,"b",,,
395,0,"M",,,
380,0,"T",,,
437,0,"b",,,
417,0,"M",,,
412,0,"T",,,
441,0,"H",,,
395,0,"m",,,
396,0,"P",,,
386,0,"f",,,
378,0,"B",,,
368,0,"a",,,
382,0,"T",,,
404,0,"R",,,
379,0,"P",,,
426,0,"h",,,
414,0,"p",,,
393,0,"E",,,
363,0,"H",,,
389,0,"h",,,
348,0,"P",,,
385,0,"f",,,
364,0,"P",,,
403,0,"P",,,
387,0,"h",,,
515,0,"A",,,
400,0,"B",,,
399,0,"t",,,
438,0,"e",,,
